,Unnamed: 0,composition,mp-id,target
223,223,Ba3Ca2TiNb2O12,,75.0
226,226,Ta0.2Ti0.55Nb0.1Zn0.15O2,,75.89250000000001
227,227,BaCeP3O10,,12.8
228,228,BaSmP3O10,,11.357142857142858
229,229,CaLaP3O10,,13.23076923076923
230,230,CaSmP3O10,,22.8
231,231,BS,,162.0
233,233,Mg3(BO3)2,mp-5005.cif,7.2
234,234,TeSe4,,10.962222222222222
235,235,CdTe4Se15,,10.0
236,236,CdTe2Se7,,10.0
238,238,SrTi4Bi4O15,mp-1217847.cif,185.8333333333333
239,239,Nb2PbO6,mp-773965.cif,263.0
242,242,SrV2O6,mp-19038.cif,9.66
247,247,Bi2Mo2O9,mp-556586.cif,36.5
248,248,ZnCdTe,mp-1232381.cif,10.45
249,249,Li2TiO3,mp-1222656.cif,22.086
252,252,Li3Mg2NbO6,,15.866499999999998
256,256,Li4Mg3Ti2O9,,15.65
257,257,Li6Mg7Ti3O16,,15.27
258,258,Li7Ti3O9F,,22.5
259,259,Y3Ti7Nb2Pb3O26.5,,67.9
262,262,B3S4,,56.0
263,263,B(SN2)2,,85.0
265,265,SbSe49,,10.8
267,267,Sb3Se47,,21.3
268,268,Sb2Se23,,22.3
270,270,Ti0.55Nb0.3Zn0.15O2,,80.62
273,273,Li2.08Ti1O3,,22.8
274,274,Li2MgTi3O8,mp-1222649.cif,27.35
276,276,Ca0.275Pb0.725,,223.0
278,278,Sc2O3,160203.cif,14.59375
279,279,La0.8Ce0.2Mn1O3,,21.0
281,281,Ti0.35Fe0.3Co0.35Bi1O3,,398.5
282,282,C3F7,,1.7625
284,284,LiH,LiH_mp-23703.cif,3.9
285,285,Na2.25Ti3Bi3.25O12,,53.0
286,286,H5C7ClO,,23.0
288,288,AlMo,,19.02
289,289,MgMo,,18.9
290,290,ZrMo,mp-1215206.cif,18.54
292,292,NaAgMoO4,,7.899999999999999
293,293,Ag2MoO4,mp-19318.cif,8.1
294,294,K2Mo2O7,mp-27597.cif,7.583333333333333
297,297,Zr0.4914Ti0.4536Nb0.055Pb0.9725O3,,1529.0
299,299,Ca3Gd3Ti7Nb2O26.5,,53.7
304,304,In2O3,mp-1245022.cif,6.594285714285713
307,307,Ba5CeTi3Nb7O30,,668.0
308,308,Ba5PrTi3Nb7O30,,700.0
311,311,Ba5GdTi3Nb7O30,,292.0
312,312,Ba5Ti3Nb7BiO30,,887.0
314,314,Ba5PrTa7Ti3O30,,164.0
316,316,FeO,mp-1283030.cif,13.0
319,319,PbO,mp-550714.cif,25.2
321,321,Ba5Ta7Ti3BiO30,,212.0
325,325,Te7Pb3Se40,,24.82
326,326,TePbSe8,,33.7
327,327,AlNi,mp-1228854.cif,2.9
330,330,SrLaAlO4,mp-1218184.cif,18.45555555555556
331,331,NdAlO3,mp-14254.cif,21.444642857142856
335,335,YVO4,mp-1102526.cif,9.7
337,337,Gd3Ga5O12,mp-2921.cif,15.0
338,338,LaMgAl11O19,mp-1223152.cif,12.461538461538462
343,343,CaTiO3,31864.cif,151.82063063063063
344,344,TeO2,mp-557.cif,21.509375
346,346,Y3Al5O12,mp-3050.cif,10.364
347,347,YAlO3,27100.cif,16.125
348,348,ZrSiO4,mp-4820.cif,12.660666666666666
350,350,H8C3O,,19.9125
351,351,CCl4,mp-1004532.cif,2.22
352,352,H7C3,,1.895
353,353,CrS30,,9.633333333333333
354,354,Ba2Ti9O20,mp-560731.cif,36.72807692307692
355,355,Ti2Nb10O29,,180.0
356,356,ZrO21,,25.0
358,358,Sm0.08Ti0.98Mn0.02Pb0.88O3,,6.14
359,359,Eu0.08Ti0.98Mn0.02Pb0.88O3,,5.510000000000001
361,361,Ba2CeSnO6,mp-1521094.cif,25.66
362,362,Ba2La1Sn1O5.5,,20.36
364,364,SiO2F,,4.2
365,365,Ca0.2Ti1Pb0.8O3,,83.0
366,366,Ca0.24Ti1Pb0.76O3,,87.0
367,367,Ca0.28Ti1Pb0.72O3,,99.0
368,368,CdCl2,mp-695850.cif,4.5465
371,371,CeMg5Nb4O17,,11.8
373,373,Sm2Mg5Nb4O18,,11.6
374,374,Mg5MnNb4O17,,11.4
375,375,Mg5Nb4(BiO9)2,,11.5
376,376,CeMg5Ta4O17,,11.2
378,378,Sm2Mg5Ta4O18,,12.0
379,379,Mg5Ta4MnO17,,14.7
380,380,Mg5Ta4(BiO9)2,,15.2
381,381,Sr5Ta4O15,mp-769582.cif,41.0
384,384,Ba3Sr2Nb4O15,,50.0
386,386,BaSr4Nb4O15,,45.0
389,389,SbTe4Se15,,168.07
390,390,Zn0.1Cd0.9Te1,,10.0
391,391,TlBr,mp-568560.cif,29.8
398,398,Ba0.1Sr1Ta0.1Ti3.9Bi3.9O15,,198.0
399,399,Sr3Nb2ZnO9,mp-1218413.cif,20.69
401,401,Sr3Mg0.5Nb2Zn0.5O9,,22.3075
402,402,Sr3Mg0.75Nb2Zn0.25O9,,21.55
403,403,Cu2Se,Cu2Se_mp-16366.cif,2.56
404,404,PI2611,,2.9
408,408,BaCe2Ti5O15,,32.0
410,410,GeTe4,,17.36
412,412,Cu3Ge17Te80,,99.36
413,413,La2Ti2O7,mp-8154.cif,48.470000000000006
414,414,La4Ti9O24,mp-560383.cif,37.0
415,415,Ba0.96La0.04Ti0.96Al0.04O3,,1713.0
416,416,Ba0.96La0.04Ti0.96Cr0.04O3,,536.0
420,420,Ba0.5Sr0.5Nb2O6,,542.75
422,422,Sr3Ti2O7,mp-3349.cif,54.94545454545455
423,423,Li1Ti0.5Nb0.6O3,,69.0
424,424,SiC2O,,2.85
427,427,Ti4Nb(BiO3)7,mp-1217566.cif,130.0
428,428,Zr0.8Ti1Sn0.2O4,,38.0
431,431,Ba0.5Ca0.5Nd2Zn1O5,,26.399999999999995
432,432,YbBiO3,mp-1101165.cif,1100.0
434,434,Sr4.33Ti0.33Nb4O15,,56.0
438,438,Sr1Ti0.8Nb0.16O3,,67.0
439,439,Ba3Ti12Zn7O34,,31.0
441,441,Sr2Ti15Zn4O36,,44.0
442,442,LiAlSiO4,mp-1222444.cif,4.799999999999999
443,443,Ba2ZnSi2O7,mp-558629.cif,8.1
444,444,Y3MgAl3SiO12,,10.1
446,446,CeO212,,20.0
448,448,ZrO212,,20.0
450,450,Ti2.95Bi4W0.05O12,,140.0
451,451,Sr0.25Ce0.5Ti1O3,,98.18571428571428
452,452,SmAlO3,mp-7405.cif,20.35
453,453,MgNb2O6,mp-17953.cif,20.38875
456,456,Nb2ZnO6,mp-17177.cif,23.90551724137931
458,458,HfNiO3,mp-1178219.cif,3.75
459,459,NiGeO3,,3.808
461,461,BaTi2O3,,10.8
462,462,Na2O,mp-776952.cif,5.026666666666666
463,463,Ba3.75Nd9.5Ti16.5Al1.5O54,,72.7
466,466,Li2Mg3ZrO6,,12.353999999999996
467,467,C3F8,,2.46
468,468,CF2,mp-559432.cif,2.255
469,469,Mg0.85Zn0.15Si1O3,,8.05
