composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Sr0.69 Li0.16 Ta0.75 Ga0.25 O3,3.69E-06,-5.432973634,0.359,291520.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Ge2 O7,8.50E-07,-6.070581074,0.43,31050.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Si2 N3,6.17E-08,-7.209714836,0.64,34118.cif,25,https://doi.org/10.1039/D2EE03499A
Li2.5Er0.5Zr0.5Cl6,1.10E-03,-2.958607315,0.34,34302.cif,25,https://doi.org/10.1021/acsenergylett.9b02599
Li2 Zn1 Ge1 O4,1.00E-07,-7,0.4,34362.cif,25,https://doi.org/10.1039/D2EE03499A
Li3.7 Si0.7 P0.3 O4,3.84E-07,-6.415668776,,35168.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Cl4,1.00E-06,-6,0.47,35275.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 I1 O3,1.90E-07,-6.721246399,,35473.cif,25,https://doi.org/10.1039/D2EE03499A
Na5 Li3 Ti2 S8,8.80E-06,-5.055517328,0.4,391258.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Zn1 I4,4.00E-08,-7.397940009,0.58,402062.cif,25,https://doi.org/10.1039/D2EE03499A
Li7 Sb1 O6,6.70E-08,-7.173925197,0.7,413370.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Gd1 P4 O12,1.00E-10,-10,1.7,416442.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Si1 N2,1.60E-07,-6.795880017,,420126.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 B6 O9 F1,5.40E-24,-23.26760624,1.38,420286.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 Cl1 O5,5.54E-10,-9.256490235,0.66,421479.cif,25,https://doi.org/10.1039/D2EE03499A
Li7 La3 Zr2 O12,0.000569,-3.244887734,0.36,422259.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Sb1 S3,1.00E-07,-7,0.4,424834.cif,25,https://doi.org/10.1039/D2EE03499A
Li9 Mg3 P4 O16 F3,1.00E-10,-10,0.835,426103.cif,25,https://doi.org/10.1039/D2EE03499A
Li17 Sb13 S28,1.05E-09,-8.978810701,0.4,429902.cif,25,https://doi.org/10.1039/D2EE03499A
Sr2 Li2 Al1 P3 O12,1.00E-10,-10,1.02,431319.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.68 La2.95 Zr2 Fe0.16 O12,0.000935,-3.029188389,0.29,431391.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.57 La2.95 Zr2 Fe0.19 O12,0.00138,-2.860120914,0.28,431392.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 P1 S4 I1,0.00012,-3.920818754,0.37,432169.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Y1 O2,1.80E-08,-7.744727495,0.72,45511.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Bi1 O2,3.80E-08,-7.420216403,0.1,46022.cif,25,https://doi.org/10.1039/D2EE03499A
Li4B7O12Cl,3.00E-04,-3.522878745,0.46,46849.cif,25,https://doi.org/10.1021/acsaem.9b00812
Li4B4Al3O12Cl0.9Br0.1,2.00E-05,-4.698970004,,46850.cif,21,https://doi.org/10.1016/j.ssi.2022.115921
Li4B4Al3O12Cl0.9Br0.2,2.00E-05,-4.698970004,,46851.cif,21,https://doi.org/10.1016/j.ssi.2022.115921
Li4B4Al3O12Br,2.70E-07,-6.568636236,,46852.cif,21,https://doi.org/10.1016/j.ssi.2022.115921
Li3.4 Si0.7 S0.3 O4,4.21E-07,-6.375717904,,47145.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Cu1 B4 O10,1.00E-13,-13,0.92,4819.cif,25,https://doi.org/10.1039/D2EE03499A
Li7.2 N1.6 Cl2.4,8.40E-07,-6.075720714,0.49,49646.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Er1 Cl6,0.00033,-3.48148606,0.41,50151.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Yb1 Cl6,1.00E-04,-4,0.5,50152.cif,30,https://doi.org/10.1021/acsmaterialslett.1c00142
Li1.9 Mn0.9 Ga0.1 Cl4,2.37E-07,-6.625251654,,50305.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.65 Mn0.65 In0.35 Cl4,9.90E-08,-7.004364805,,50306.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.45 La0.52 Ti1 O3,0.000501,-3.300162274,,50434.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 V1 O3,2.05E-09,-8.688246139,,51443.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Si1 O4,2.00E-09,-8.698970004,0.68,55665.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.5 Ti0.5 Fe0.5 P3 O12,0.00027,-3.568636236,0.32,55751.cif,25,https://doi.org/10.1039/D2EE03499A
Li10.2 Si0.96 Sn0.24 P1.8 S12,0.00782,-2.106793247,,5667.cif,25,https://doi.org/10.1039/D2EE03499A
Li10.5 Si1.2 Sn0.3 P1.5 S12,0.00879,-2.056011125,,5668.cif,25,https://doi.org/10.1039/D2EE03499A
Li10.35 Si1.08 Sn0.27 P1.65 S12,0.0108,-1.966576245,,5669.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.96 Ca1.9 P6 Pb6.12 O24,1.00E-10,-10,1.05,59615.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Si1 S4,5.00E-08,-7.301029996,0.56,59708.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ga1 Br4,7.00E-06,-5.15490196,0.54,61337.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Zn1 O4,9.40E-09,-8.026872146,0.61,62137.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 P1,0.000703,-3.153044675,0.18,642223.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ga1 Si1 O4,3.00E-16,-15.52287875,0.9,65125.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 B4 O7,1.00E-10,-10,,65930.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 P1 N2,1.60E-07,-6.795880017,0.4,66007.cif,25,https://doi.org/10.1039/D2EE03499A
Li3.5 V0.5 Ge0.5 O4,1.77E-05,-4.752026734,,66576.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Br1 O1,0.00194,-2.71219827,0.18,67265.cif,26.85,https://doi.org/10.1038/s41467-019-13214-1
Li7 P1 N4,1.60E-07,-6.795880017,0.4,69017.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Mn1 Cl4,4.79E-06,-5.319664487,,69678.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 La1 Nb2 O7,1.00E-08,-8,,72566.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Mg1 Br4,7.80E-10,-9.107905397,0.77,73276.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Zr2 O7,5.20E-10,-9.283996656,0.68,73835.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Mg1 Cl4,6.24E-07,-6.20481541,,74957.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Cd1 Cl4,5.80E-07,-6.236572006,0.44,74958.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 V1 Cl4,6.95E-06,-5.158015195,,74959.cif,25,https://doi.org/10.1039/D2EE03499A
Li2.88 P1 N0.14 O3.73,1.40E-13,-12.85387196,0.97,79426.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.36 Nd0.54 Ti1 O3,3.42E-08,-7.465973894,0.5,81047.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.39 Pr0.51 Ti1 O2.96,5.34E-07,-6.272458743,0.44,81048.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 Si3 O8,1.30E-10,-9.886056648,,81980.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.33 La0.5 Ti1 O3,0.001,-3,0.15,82671.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.27 La0.58 Ti1 O3,0.000832,-3.079876674,,82672.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.284 Sm4.512 Si3 O12.91,1.00E-10,-10,,83279.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 I3 N1,3.70E-06,-5.431798276,,83380.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.87 Hf2.032 P3 O12,1.29E-05,-4.88941029,0.33,83501.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Sn2 P3 O12,2.04E-09,-8.690369833,,83832.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Sb1 S4,1.50E-06,-5.823908741,0.518,8407.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Br3 N1,1.00E-08,-8,0.69,84091.cif,25,https://doi.org/10.1039/D2EE03499A
Li5 N1 Cl2,1.20E-06,-5.920818754,0.5,84763.cif,25,https://doi.org/10.1039/D2EE03499A
Li5NCl2,0.000001,-6,0.487,84765.cif,25,https://doi.org/10.1021/acsaem.2c03551
Li3 Al1 F6,5.00E-07,-6.301029996,0.54,85171.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Mg1 Ti3 O8,1.00E-10,-10,0.71,86165.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Ti3 Co1 O8,1.00E-10,-10,1.33,86166.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Co1 Ge3 O8,1.00E-10,-10,1.49,86167.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Zn1 Ge3 O8,1.00E-10,-10,2.14,86169.cif,25,https://doi.org/10.1039/D2EE03499A
Sr1 Li4 N2,2.30E-13,-12.63827216,0.9,87413.cif,25,https://doi.org/10.1039/D2EE03499A
Sr3 Li4 Nb5.77 Fe0.23 O19.77,1.00E-10,-10,,87823.cif,25,https://doi.org/10.1039/D2EE03499A
Sr3 Li4 Nb6 O20,1.00E-10,-10,,87824.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 In1 Cl6,0.00204,-2.690369833,0.35,89617.cif,25,https://doi.org/10.1039/D2EE03499A
Li5 Ga1 O4,5.00E-09,-8.301029996,0.71,9082.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 B1 O3,7.40E-11,-10.13076828,0.63,9105.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 La1 Ti1 O4,1.00E-10,-10,0.83,91843.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Nd1 Ti1 O4,1.00E-10,-10,0.87,91844.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Ge1 S4,2.00E-07,-6.698970004,0.53,92200.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.08 La0.64 Ti1 O3,0.000335,-3.474955193,,92228.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.14 La0.62 Ti1 O3,0.000442,-3.354577731,,92231.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.215 La0.595 Ti1 O3,0.000853,-3.069050969,,92234.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.305 La0.565 Ti1 O3,0.000957,-3.019088062,,92235.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.5 La0.5 Ti1 O3,0.000925,-3.033858267,0.39,92236.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Zr1 O3,6.10E-10,-9.214670165,0.78,94894.cif,25,https://doi.org/10.1039/D2EE03499A
Li3.333 Mg0.333 P2 S6,8.20E-08,-7.086186148,0.517,95606.cif,25,https://doi.org/10.1039/D2EE03499A
Li2.667 Mg0.667 P2 S6,4.00E-06,-5.397940009,0.46,95607.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Zn1 P1 S4,5.40E-08,-7.26760624,,95785.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ti2 P3 O12,0.000161,-3.793174124,0.21,95979.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.18 La0.61 Ti1 O3,0.0002,-3.698970004,0.432,99398.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Al1 O2,1.10E-12,-11.95860731,0.97,99517.cif,25,https://doi.org/10.1039/D2EE03499A
Li44.1 Bi21.3 P36 S144,1.20E-06,-5.920818754,0.3,ccdc_2235620.cif,20,https://doi.org/10.1021/acs.inorgchem.3c01028
Li3 Ge0.5 Mo0.5 O4,9.01E-14,-13.04527521,0.98,ccdc_2255440.cif,25,https://doi.org/10.1021/acs.inorgchem.3c01222
Li10 Ge1 Sb0.05 P1.95 S12,0.010592281,-1.975010506,0.27509,LGPS_005Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.05 P1.95 S12,0.010592281,-1.975010506,0.27509,LGPS_005Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.1 P1.9 S12,0.009007913,-2.045375817,0.26829,LGPS_010Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.1 P1.9 S12,0.009007913,-2.045375817,0.26829,LGPS_010Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.15 P1.85 S12,0.007895583,-2.102615797,0.27583,LGPS_015Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.15 P1.85 S12,0.007895583,-2.102615797,0.27583,LGPS_015Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.2 P1.8 S12,0.009958007,-2.001827573,0.26284,LGPS_020Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.2 P1.8 S12,0.009958007,-2.001827573,0.26284,LGPS_020Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.25 P1.75 S12,0.009267185,-2.033052167,0.27821,LGPS_025Sb_300K.cif,25,10.1039/D2CP04710A
Li10 Ge1 Sb0.25 P1.75 S12,0.009267185,-2.033052167,0.27821,LGPS_025Sb_300K.cif,25,10.1039/D2CP04710A
Li6.1 Ge0.1 P0.9 S5 I1,9.21E-06,-5.03574037,0.38578,LGPSI_01.cif,25,10.1021/jacs.8b10282
Li6.15 Ge0.15 P0.85 S5 I1,3.99E-05,-4.399027104,0.36337,LGPSI_015_N.cif,25,10.1021/jacs.8b10282
Li6.2 Ge0.2 P0.8 S5 I1,3.31E-05,-4.480172006,0.3605,LGPSI_02.cif,25,10.1021/jacs.8b10282
Li6.25 Ge0.25 P0.75 S5 I1,0.000152148,-3.817733752,0.30488,LGPSI_025_N.cif,25,10.1021/jacs.8b10282
Li6.3 Ge0.3 P0.7 S5 I1,0.000656356,-3.18286054,0.23908,LGPSI_030_N.cif,25,10.1021/jacs.8b10282
Li6.4 Ge0.4 P0.6 S5 I1,0.001507029,-2.82187839,0.24065,LGPSI_04.cif,25,10.1021/jacs.8b10282
Li6.5 Ge0.5 P0.5 S5 I1,0.001816573,-2.740747145,0.2261,LGPSI_05.cif,25,10.1021/jacs.8b10282
Li6.6 Ge0.6 P0.4 S5 I1,0.005119718,-2.29075396,0.23514,LGPSI_060_N.cif,25,10.1021/jacs.8b10282
Li6.7 Ge0.7 P0.3 S5 I1,0.005411449,-2.26668643,0.2461,LGPSI_07.cif,25,10.1021/jacs.8b10282
Li10 Sn0.667 Ge0.333 P2 S12,0.004752126,-2.323112053,0.284801762,Li10Ge03Sn06P2S12.cif,25,10.1021/acs.chemmater.8b00266
Li10 Sn0.333 Ge0.667 P2 S12,0.006293545,-2.201104658,0.275374449,Li10Ge06Sn03P2S12.cif,25,10.1021/acs.chemmater.8b00266
Li2HfCl6,5.00E-04,-3.301029996,0.35,Li2HfCl6_Ideal Layered Structure_SSW-NN.cif,30,https://doi.org/10.1021/acs.nanolett.2c00187
Li2 P2 S6,7.70E-11,-10.11350927,0.512353488,Li2P2S6.cif,25,10.1021/acs.inorgchem.7b00751
Li2ZrCl6,8.90E-04,-3.050609993,0.35,Li2ZrCl4_p3m1.cif,25,https://doi.org/10.1038/s41467-021-24697-2
Li2ZrCl6,5.80E-06,-5.236572006,0.5,Li2ZrCl6_c2m.cif,25,https://doi.org/10.1038/s41467-021-24697-2
Li3 Er1 Cl6,0.000104653,-3.980248318,0.467932014,Li3ErCl6_BM_1min.cif,25,10.1002/aenm.201903719
Li3 Sb1 S4,8.69E-11,-10.06098022,0.75012,Li3SbS4_neutron.cif,25,"Bianca Helm, paper in preparation"
Li3 Y1 Br6,0.001391502,-2.856516165,0.459255324,Li3YBr6_mechanochemical.cif,25,10.1021/acs.chemmater.0c04352
Li3 Y1 Cl6,0.000302536,-3.519222939,0.411253719,Li3YCl6_mechanochemical.cif,25,10.1021/acs.chemmater.0c04352
Li4 Sn0.75 Ge0.25 S4,4.06E-07,-6.391473966,0.564604274,Li4Ge0.25Sn0.75S4.cif,25,10.1021/acs.chemmater.9b01059
Li4 Sn0.75 Ge0.25 Se4,7.06E-07,-6.151195299,0.584472796,Li4Ge0.25Sn0.75Se4.cif,25,Nicolo Minafra
Li4 Sn0.5 Ge0.5 S4,3.38E-07,-6.4710833,0.56886241,Li4Ge0.50Sn0.50S4.cif,25,10.1021/acs.chemmater.9b01059
Li4 Sn0.5 Ge0.5 Se4,1.79E-06,-5.747146969,0.562784486,Li4Ge0.50Sn0.50Se4.cif,25,Nicolo Minafra
Li4 Sn0.25 Ge0.75 S4,1.20E-07,-6.920818754,0.539406304,Li4Ge0.75Sn0.25S4.cif,25,10.1021/acs.chemmater.9b01059
Li4 Sn0.25 Ge0.75 Se4,5.46E-06,-5.262807357,0.48206296,Li4Ge0.75Sn0.25Se4.cif,25,Nicolo Minafra
Li4 Ge1 Se4,4.62E-06,-5.335358024,0.463140621,Li4GeSe4.cif,25,Nicolo Minafra
Li4 Sn1 Se2 S2,3.34E-05,-4.476253533,0.487491338,Li4SnS2Se2.cif,25,Nicolo Minafra
Li4 Sn1 Se1 S3,7.35E-05,-4.133712661,0.477922803,Li4SnS3Se.cif,25,Nicolo Minafra
Li4 Sn1 S4,1.61E-06,-5.793174124,0.47372079,Li4SnS4.cif,25,10.1021/acs.chemmater.9b01059
Li4 Sn1 Se4,4.87E-08,-7.312471039,0.535183821,Li4SnSe4.cif,25,Nicolo Minafra
Li4 Sn1 Se3 S1,8.20E-07,-6.086186148,0.550795275,Li4SnSSe3.cif,25,Nicolo Minafra
Li5.9 Sb1 S4.9 I1.1,1.99E-07,-6.701146924,0.501,Li5_9SbS4_9I1_1_HT.cif,25,Hauke Gl√ºck
Li5.5 P1 S4.5 Cl1.5,0.006826135,-2.165825127,0.393996274,Li5.5PS4.5Cl1.5.cif,25,10.1021/acsaem.1c01417
Li5.75 P1 S4.75 Cl1.25,0.003968394,-2.401385216,0.399338596,Li5.75PS4.75Cl1.25.cif,25,10.1021/acsaem.1c01417
Li5.85 P1 Se4.85 Br1.15,0.002023349,-2.693929201,0.35471,Li585PSe485Br115.cif,25,Johannes Hartel
Li5.8 P1 Se4.8 Br1.2,0.001892037,-2.723070375,0.359,Li58PSe48Br12.cif,25,Johannes Hartel
Li5.95 P1 Se4.95 Br1.05,0.001426631,-2.845688343,0.37524,Li595PSe495Br105.cif,25,Johannes Hartel
Li5.9 P1 Se4.9 Br1.1,0.002167087,-2.664123653,0.38451,Li59PSe49Br11.cif,25,Johannes Hartel
Li6.125 Si0.125 P0.875 S5 Br1,0.000928036,-3.032435176,0.189163202,Li6.125P0.875Si0.125S5Br.cif,25,10.1039/C7TA08581H
Li6.1Si0.1Sb0.9S5I ,6.70E-06,-5.173925197,0.55,Li6.1Si0.1Sb0.9S5I.cif,25,10.1021/jacs.9b08357
Li6.25 Si0.25 P0.75 S5 Br1,0.001428405,-2.845148638,0.222879187,Li6.25P0.75Si0.25S5Br.cif,25,10.1039/C7TA08581H
Li6.25 P1 S5.25 Cl0.75,0.001288554,-2.889897377,0.427619905,Li6.25PS5.25Cl0.75.cif,25,10.1021/acsaem.1c01417
Li6.2Ge0.2Sb0.8S5I ,8.70E-04,-3.060480747,0.3,Li6.2Ge0.2Sb0.8S5I.cif,25,10.1021/jacs.9b08357
Li6.2Sn0.2Sb0.8S5I ,1.90E-02,-1.721246399,0.23,Li6.2Sn0.2Sb0.8S5I.cif,25,10.1021/jacs.9b08357
Li6.4Ge0.4Sb0.6S5I ,6.30E-03,-2.200659451,0.23,Li6.4Ge0.4Sb0.6S5I.cif,25,10.1021/jacs.9b08357
Li6.4Si0.4Sb0.6S5I ,4.14E-03,-2.382999659,0.25,Li6.4Si0.4Sb0.6S5I.cif,25,10.1021/jacs.9b08357
Li6.5 Si0.5 P0.5 S5 Br1,0.002223552,-2.65295271,0.270108922,Li6.5P0.5Si0.5S5Br.cif,25,10.1039/C7TA08581H
Li6.5 P1 S5.5 Cl0.5,0.00106689,-2.971880356,0.430592939,Li6.5PS5.5Cl0.5.cif,25,10.1021/acsaem.1c01417
Li6.5Si0.5Sb0.5S5I ,9.98E-03,-2.000869459,0.26,Li6.5Si0.5Sb0.5S5I.cif,25,10.1021/jacs.9b08357
Li6.75 P1 S5.75 Cl0.25,0.000586203,-3.231951963,0.444480781,Li6.75PS5.75Cl0.25.cif,25,10.1021/acsaem.1c01417
Li6.7Si0.7Sb0.3S5I ,2.40E-02,-1.619788758,0.26,Li6.7Si0.7Sb0.3S5I.cif,25,10.1021/jacs.9b08357
Li6 P1 S5 Br1,0.000726358,-3.138849276,0.195406109,Li6P1Si0S5Br.cif,25,10.1039/C7TA08581H
Li6 P1 Se3 S2 I1,0.000265733,-3.575554509,0.317363649,Li6PS2Se3I.cif,25,10.1021/acsaem.9b01794
Li6 P1 Se2 S3 I1,5.50E-05,-4.259637311,0.339566301,Li6PS3Se2I.cif,25,10.1021/acsaem.9b01794
Li6 P1 Se1 S4 Br1,0.003468372,-2.459874328,0.34205,Li6PS4SeBr.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.002636447,-2.578980955,0.30955,Li6PS5Br_0Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.00053773,-3.269435734,0.307402358,Li6PS5Br_10disorder.cif,25,10.1002/aenm.202003369
Li6 P1 Se0.1 S4.9 Br1,0.003079742,-2.511485664,0.33247,Li6PS5Br_10Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.000942366,-3.025780391,0.319206534,Li6PS5Br_18disorder.cif,25,10.1002/aenm.202003369
Li6 P1 Se0.2 S4.8 Br1,0.003732333,-2.428019615,0.34458,Li6PS5Br_20Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.001339893,-2.872929882,0.346232129,Li6PS5Br_28disorder.cif,25,10.1002/aenm.202003369
Li6 P1 Se0.3 S4.7 Br1,0.003532366,-2.451934304,0.33186,Li6PS5Br_30Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.001571152,-2.803781797,0.342684669,Li6PS5Br_33disorder.cif,25,10.1002/aenm.202003369
Li6 P1 S5 Br1,0.001922369,-2.716163246,0.350364874,Li6PS5Br_39disorder.cif,25,10.1002/aenm.202003369
Li6 P1 Se0.4 S4.6 Br1,0.00364,-2.438898616,0.33,Li6PS5Br_40Se.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 Se0.5 S4.5 Br1,0.002589395,-2.586801695,0.33769,Li6PS5Br_50Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 Se0.6 S4.4 Br1,0.002733462,-2.563286959,0.3412,Li6PS5Br_60Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 Se0.7 S4.3 Br1,0.00301,-2.521433504,0.35,Li6PS5Br_70Se.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 P1 Se0.8 S4.2 Br1,0.003358497,-2.473855035,0.34458,Li6PS5Br_80Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 Se0.9 S4.1 Br1,0.003639821,-2.438919974,0.33897,Li6PS5Br_90Se.cif,25,10.1021/acs.inorgchem.8b02443
Li6 P1 S5 Br1,0.001116615,-2.952096542,0.30022,Li6PS5Br_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 Br1,0.001476036,-2.83090305,0.335793419,Li6PS5Br_quench.cif,25,10.1021/acs.chemmater.9b03852
Li6 P1 S5 Br1,0.000989211,-3.004711063,0.307104713,Li6PS5Br_standard_cool.cif,25,10.1021/acs.chemmater.9b03852
Li6 P1 S5 Br0.25 Cl0.75,0.002105826,-2.676577517,0.41083,Li6PS5Br0.25Cl0.75_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 Br0.5 Cl0.5,0.003221905,-2.491887269,0.35275,Li6PS5Br0.5Cl0.5_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 Br0.75 Cl0.25,0.001949653,-2.710042678,0.32922,Li6PS5Br0.75Cl0.25_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 Cl1,0.00209365,-2.679095919,0.42899,Li6PS5Cl_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 Cl1,0.002244457,-2.648888711,0.419372305,Li6PS5Cl1.cif,25,10.1021/acsaem.1c01417
Li6 P1 S5 I1,1.77E-06,-5.752026734,0.40854,Li6PS5I_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 I1,3.46E-06,-5.460923901,0.38024994,Li6PS5I.cif,25,10.1021/acsaem.9b01794
Li6 P1 S5 I0.75 Br0.25,4.94E-06,-5.306273051,0.35636,Li6PS5I0.25Br0.75_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 I0.5 Br0.5,2.97E-05,-4.527243551,0.31318,Li6PS5I0.50Br0.50_n.cif,25,10.1021/jacs.7b06327
Li6 P1 S5 I0.25 Br0.75,0.000122909,-3.910416315,0.29919,Li6PS5I0.75Br0.25_n.cif,25,10.1021/jacs.7b06327
Li6 P1 Se5 Br1,0.002042453,-2.689847928,0.35076,Li6PSe5Br.cif,25,Johannes Hartel
Li6 P1 Se5 I1,0.00031874,-3.496563432,0.285776046,Li6PSe5I.cif,25,10.1021/acsaem.9b01794
Li6 Sb1 S5 I1,5.11E-07,-6.2915791,0.502,Li6SbS5I_HT.cif,25,Hauke Gl√ºck
Li8B10S19,1.30E-04,-3.886056648,,Li8B10S19.cif,25,https://doi.org/10.1021/acsenergylett.3c00560
Li6.05 Sn0.05 P0.95 S5 I1,2.80E-06,-5.552841969,0.358710172,LSnPSI_X005.cif,25,10.1021/acs.chemmater.9b01857
Li6.1 Sn0.1 P0.9 S5 I1,3.58E-05,-4.446116973,0.346267829,LSnPSI_X010.cif,25,10.1021/acs.chemmater.9b01857
Li6.15 Sn0.15 P0.85 S5 I1,6.68E-06,-5.175223538,0.361781614,LSnPSI_X015.cif,25,10.1021/acs.chemmater.9b01857
Li6.2 Sn0.2 P0.8 S5 I1,4.32E-05,-4.364516253,0.348550085,LSnPSI_X020.cif,25,10.1021/acs.chemmater.9b01857
Li6.25 Sn0.25 P0.75 S5 I1,7.72E-05,-4.1123827,0.337193341,LSnPSI_X025.cif,25,10.1021/acs.chemmater.9b01857
Li6.3 Sn0.3 P0.7 S5 I1,8.83E-05,-4.054039296,0.335717692,LSnPSI_X030.cif,25,10.1021/acs.chemmater.9b01857
Li6 P1 S5 I1,1.34E-06,-5.872895202,0.352061892,LSPSI_X000.cif,25,10.1021/acs.chemmater.9b01857
Li6.1 Si0.1 P0.9 S5 I1,6.10E-06,-5.214670165,0.369322434,LSPSI_X010.cif,25,10.1021/acs.chemmater.9b01857
Li6.2 Si0.2 P0.8 S5 I1,5.45E-05,-4.263603498,0.339569312,LSPSI_X020.cif,25,10.1021/acs.chemmater.9b01857
Li6.25 Si0.25 P0.75 S5 I1,0.000130652,-3.883883938,0.262148093,LSPSI_X025.cif,25,10.1021/acs.chemmater.9b01857
