composition,target (S/cm),log_target,Arrhenius Barrier (eV),structure files,temperature,Link to reference
Sr1 Li6 La2 Sb2 O12,6.60E-06,-5.180456064,0.54,161343.cif,25,https://doi.org/10.1039/D2EE03499A
Li6 Ca1 La2 Nb2 O12,1.60E-06,-5.795880017,0.55,161386.cif,25,https://doi.org/10.1039/D2EE03499A
Li5 Al1 O4,5.00E-10,-9.301029996,0.99,16229.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 H4 I1 N2,1.00E-05,-5,0.58,167528.cif,25,https://doi.org/10.1039/D2EE03499A
Li5 I2 N1,4.00E-06,-5.397940009,,16800.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.34 Ti1.66 O4,6.03E-08,-7.219682688,0.506,168137.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.2 Mg0.2 Ti1.6 O4,4.24E-09,-8.372634143,0.615,168141.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.14 Mg0.3 Ti1.56 O4,1.51E-09,-8.821023053,0.639,168142.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.07 Mg0.395 Ti1.535 O4,6.56E-10,-9.183096161,0.685,168144.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.995 Mg0.505 Ti1.5 O4,1.53E-11,-10.81530857,0.786,168145.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 Mg2 Mo3 O12,1.00E-10,-10,0.71,170956.cif,25,https://doi.org/10.1039/D2EE03499A
Li5 La3 Nb2 O12,1.00E-05,-5,0.43,171171.cif,25,https://doi.org/10.1039/D2EE03499A
Li7 La3 Hf2 O12,0.00024,-3.619788758,0.29,174202.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 P1 S4,2.60E-07,-6.585026652,0.49,180318.cif,26.85,https://doi.org/10.1038/s41467-019-13214-2
Li3 P1 S4,0.00016,-3.795880017,0.36,180319.cif,26.85,https://doi.org/10.1038/s41467-019-13214-1
Na0.1 Li0.4 La0.5 Nb2 O6,9.92E-06,-5.003488328,,180629.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.2 Li0.3 La0.5 Nb2 O6,1.11E-05,-4.954677021,,180630.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.3 Li0.2 La0.5 Nb2 O6,1.18E-05,-4.928117993,,180631.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.4 Li0.1 La0.5 Nb2 O6,1.21E-05,-4.91721463,,180632.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.43 Li0.07 La0.5 Nb2 O6,1.23E-05,-4.910094889,,180633.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.46 Li0.04 La0.5 Nb2 O6,5.91E-06,-5.228412519,,180634.cif,25,https://doi.org/10.1039/D2EE03499A
Na0.48 Li0.02 La0.5 Nb2 O6,3.99E-06,-5.399027104,,180635.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Ge1 O4,2.80E-10,-9.552841969,0.73,18096.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ga1 O2,2.40E-14,-13.61978876,0.86,18152.cif,25,https://doi.org/10.1039/D2EE03499A
Li3 Sc1 Cl6,3.00E-03,-2.522878745,0.365,18229.cif,25,https://doi.org/10.1021/jacs.0c00134
Li1 Ti1.4 Sn0.6 P3 O12,2.28E-05,-4.642065153,0.32,183672.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ti0.6 Sn1.4 P3 O12,9.42E-06,-5.025949097,,183676.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ti0.4 Sn1.6 P3 O12,3.15E-06,-5.501689446,,183677.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.5 La3 Zr1.5 Ta0.5 O12,0.00061,-3.214670165,0.4,183686.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.75 La3 Zr1.75 Ta0.25 O12,0.00087,-3.060480747,0.22,183873.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 V1 P1 O4 F1,8.10E-07,-6.091514981,0.23,183876.cif,25,https://doi.org/10.1039/D2EE03499A
Li1 Ce1 B3 H12 Cl1,0.000103,-3.987162775,,185218.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.06 La3 Zr2 Al0.2 O12,0.0004,-3.397940009,0.34,185539.cif,25,https://doi.org/10.1039/D2EE03499A
Li6.16 La3 Zr2 Al0.28 O12,0.00061,-3.214670165,0.34,185539.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.5 Ce0.5 Mo1 O4,1.30E-08,-7.886056648,0.4,186450.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.5 Ce0.25 Pr0.25 Mo1 O4,1.00E-09,-9,0.5,186451.cif,25,https://doi.org/10.1039/D2EE03499A
Li0.5 Ce0.25 Sm0.25 Mo1 O4,1.80E-10,-9.744727495,0.5,186452.cif,25,https://doi.org/10.1039/D2EE03499A
Li2 P1 N1 O2,1.00E-10,-10,0.57,188493.cif,25,https://doi.org/10.1039/D2EE03499A
Li5.5 Nd3 Zr2 Al0.5 O12,3.90E-05,-4.408935393,0.56,189530.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.049 Li0.461 La0.49 Ti1 O3,0.000709,-3.149353765,0.33,190825.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.111 Li0.429 La0.46 Ti1 O3,0.000197,-3.705533774,0.33,190826.cif,25,https://doi.org/10.1039/D2EE03499A
Sr0.23 Li0.368 La0.402 Ti1 O3,2.87E-05,-4.542118103,0.36,190827.cif,25,https://doi.org/10.1039/D2EE03499A
Li1.15 Y0.15 Zr1.85 P3 O12,0.00014,-3.853871964,0.39,191891.cif,25,https://doi.org/10.1039/D2EE03499A
Li10 Sn1 P2 S12,0.007,-2.15490196,0.27,193755.cif,25,https://doi.org/10.1039/D2EE03499A
Li4 Sn1 Se4,2.00E-05,-4.698970004,0.45,193768.cif,25,https://doi.org/10.1039/D2EE03499A
