,Unnamed: 0,composition,mp-id,target
722,722,MoPbO4,mp-22169.cif,2.3201600000000004
723,723,Y3Ga5O12,mp-5444.cif,1.899828571428572
724,724,Lu3Al5O12,mp-14132.cif,1.841
727,727,CaAl2B2O7,mp-557689.cif,1.563
730,730,Sr0.02Ni0.98O1,,2.31
731,731,Sr0.04Ni0.96O1,,3.96
734,734,NdPb6,,1.651
736,736,NdPb10,,1.6529999999999998
737,737,YbPb2,,1.632
738,738,YbPb4,,1.636
739,739,YbPb6,,1.6369999999999998
740,740,YbPb8,,1.639
743,743,LiClO4,mp-30301.cif,1.396578947368421
744,744,Pr1Mn0.2,,1.652
746,746,Pr1Mn0.6,,1.652
749,749,YClO,mp-27985.cif,1.8
750,750,ScBO3,mp-8697.cif,1.826
751,751,YBO3,mp-1100874.cif,1.7894
754,754,Y2Sn2O7,24193.cif,1.74
755,755,GdAlO3,mp-1178268.cif,1.93
756,756,CsTlI,,1.78875
759,759,Na2S2O3,mp-4199.cif,1.368565625
760,760,Yb0.2Y0.8F3,,2.716
761,761,SrBi2(Te3O8)2,,2.21
763,763,PtS2,mp-762.cif,1.33
764,764,CaBr2,mp-571166.cif,1.6272857142857144
765,765,MgBr2,mp-30034.cif,1.6165000000000005
767,767,ZnBr2,mp-647579.cif,1.603557142857143
768,768,VBO,,1.5041352941176471
770,770,RbNO3,mp-614951.cif,1.36653
771,771,CsNO3,mp-1196533.cif,1.3479
774,774,Mg0.42Zn0.3Cd0.28Se1,,2.39
775,775,Mg0.59Zn0.23Cd0.18Se1,,2.37
776,776,Zn3N2,mp-754553.cif,1.5575
779,779,Fe2(SO4)3,mp-540894.cif,1.6712333333333331
781,781,Ge3S7,,2.156
782,782,GeSe3,,2.37
784,784,Y186B,,1.6853749999999998
785,785,Y189B,,1.679625
786,786,Y478B,,1.6818333333333333
787,787,H4CN,,1.4568
790,790,H23C8N5,,1.5042
792,792,Yb3Al5O12,mp-3800.cif,1.83
793,793,InGe2Se7,,3.248333333333333
794,794,AlF3,mp-555026.cif,1.4357777777777776
795,795,Ga0.5Ge1.3As37.8S60.4,,2.426
796,796,Ge3.2As36.6S60.2,,2.394
799,799,Zn2N3,,1.92
800,800,Na1Yb0.02Y0.975Er0.005W2O8,,1.9
801,801,NaPO3,mp-648072.cif,1.4846
803,803,Ca(PO3)2,mp-561008.cif,1.557175
804,804,Ba(PO3)2,mp-559939.cif,1.5899
805,805,La(PO3)3,mp-9646.cif,1.6
806,806,Al(PO3)3,mp-540549.cif,1.531
810,810,H18C12O7,,1.4965000000000002
813,813,Cs2SO4,mp-505782.cif,1.4225816666666666
814,814,Ge12Bi4O3,,1.6749999999999998
815,815,GdVO4,mp-22024.cif,2.384675
816,816,ErVO4,mp-18880.cif,2.1026666666666665
818,818,LuVO4,mp-19295.cif,2.0850500000000003
820,820,HgTe,mp-1507.cif,4.26
823,823,Sr2Be2B2O7,mp-556498.cif,1.677
824,824,SrBe3O4,mp-27791.cif,1.713
828,828,CsAs(HO2)2,mp-1185571.cif,1.566
829,829,Ba2Ti(SiO4)2,mp-6081.cif,1.763
830,830,K3Li2Nb5O15,mp-766938.cif,2.251
831,831,K2Al2B2O7,mp-1223739.cif,1.529
832,832,Ba(BO2)2,mp-5730.cif,1.631
833,833,SrBPO5,mp-6486.cif,1.647
834,834,BaBPO5,mp-6040.cif,1.664
835,835,Ca4GdB3O10,mp-6943.cif,1.6889333333333332
836,836,Ca4YB3O10,mp-1214020.cif,1.68135
837,837,SrB4O7,mp-5540.cif,1.722
839,839,Bi(BO2)3,mp-23349.cif,1.845
840,840,NaNO2,mp-2964.cif,1.471
842,842,LiB3O5,mp-1020025.cif,1.5871142857142857
844,844,KGePO5,mp-14383.cif,1.665
845,845,Li2GeO3,mp-15349.cif,1.682
847,847,KTiPO5,mp-1198407.cif,1.9976142857142856
848,848,KTiAsO5,mp-6488.cif,1.842
851,851,CsTiAsO5,mp-541956.cif,1.922
852,852,HIO3,mp-556216.cif,1.933
855,855,KNbO3,mp-5246.cif,2.2756
856,856,La2Ti2O7,mp-8154.cif,2.2473333333333336
857,857,Ba2NaNb5O15,mp-1199624.cif,2.2672
861,861,GaSe,mp-1572.cif,3.4506
865,865,LiGaTe2,mp-5048.cif,2.5935
867,867,SnS2,mp-1170.cif,2.831666666666667
868,868,Ag3SbS3,mp-4515.cif,3.013
870,870,GaAgGeS4,mp-1224946.cif,2.288
871,871,As2Se1.5S1.5,,2.6033
874,874,BaP3Pb,,2.71
875,875,BaP4Pb,,2.7
879,879,Mn0.1Zn0.9Te1,,1.8
880,880,Mn0.25Zn0.75Te1,,1.925
881,881,Mn0.55Zn0.5Te1,,1.145
882,882,LiAc,,3.9666666666666655
883,883,YbB4O7,mp-752484.cif,1.56
890,890,Sm2Ge2O7,mp-778114.cif,1.83
892,892,TmGaO3,mp-754578.cif,1.91
896,896,Lu3Sb5O12,mp-768483.cif,2.03
897,897,Cs2CeO3,mp-1178467.cif,2.04
900,900,Ho3Sb5O12,mp-771762.cif,2.04
901,901,Y2Sb2O7,mp-777749.cif,2.05
904,904,Y2TeO6,mp-771238.cif,2.15
906,906,Er2TeO6,mp-774557.cif,2.17
908,908,Sm3TaO7,mp-755941.cif,2.22
909,909,TmCrO3,mp-1187577.cif,2.22
910,910,Sm2TeO6,mp-772900.cif,2.24
914,914,Ho2Ti2O7,mp-768695.cif,2.35
